id,account_id,instrument_symbol,side,quantity,price,filled_at,order_id,liquidity,commission_usd
FIL-500001,ACC-1017,MCL,SELL,3,73.43,2026-08-20T23:20:09Z,ORD-900207,maker,2.10
FIL-500002,ACC-1017,MCL,BUY,3,73.44,2026-08-20T23:52:09Z,ORD-900208,maker,2.10
FIL-500003,ACC-1015,MES,SELL,5,5610.50,2026-08-21T00:08:35Z,ORD-900185,taker,3.50
FIL-500004,ACC-1015,MES,SELL,5,5610.50,2026-08-21T00:08:36Z,ORD-900185,taker,3.50
FIL-500005,ACC-1015,MES,BUY,10,5609.50,2026-08-21T00:26:35Z,ORD-900186,taker,7.00
FIL-500006,ACC-1011,MCL,BUY,4,73.39,2026-08-21T00:35:13Z,ORD-900127,taker,2.80
FIL-500007,ACC-1012,MES,BUY,4,5610.00,2026-08-21T00:37:15Z,ORD-900463,taker,2.80
FIL-500008,ACC-1012,MES,SELL,4,5611.00,2026-08-21T00:48:15Z,ORD-900464,taker,2.80
FIL-500009,ACC-1009,GC,BUY,3,2477.80,2026-08-21T00:51:31Z,ORD-900111,taker,6.30
FIL-500010,ACC-1009,GC,SELL,3,2477.60,2026-08-21T00:56:31Z,ORD-900112,taker,6.30
FIL-500011,ACC-1015,MES,BUY,4,5608.75,2026-08-21T00:59:07Z,ORD-900155,maker,2.80
FIL-500012,ACC-1015,MES,BUY,4,5608.75,2026-08-21T00:59:09Z,ORD-900155,taker,2.80
FIL-500013,ACC-1015,MES,BUY,10,5608.25,2026-08-21T01:12:29Z,ORD-900153,taker,7.00
FIL-500014,ACC-1002,MES,BUY,3,5608.75,2026-08-21T01:14:40Z,ORD-900019,taker,2.10
FIL-500015,ACC-1002,MES,BUY,3,5608.75,2026-08-21T01:14:44Z,ORD-900019,taker,2.10
FIL-500016,ACC-1009,GC,BUY,2,2477.70,2026-08-21T01:16:22Z,ORD-900109,maker,4.20
FIL-500017,ACC-1012,MES,SELL,4,5608.75,2026-08-21T01:16:44Z,ORD-900459,maker,2.80
FIL-500018,ACC-1011,MCL,SELL,4,73.41,2026-08-21T01:24:13Z,ORD-900128,maker,2.80
FIL-500019,ACC-1015,MES,SELL,8,5609.50,2026-08-21T01:30:07Z,ORD-900156,taker,5.60
FIL-500020,ACC-1009,GC,SELL,2,2478.50,2026-08-21T01:35:22Z,ORD-900110,taker,4.20
FIL-500021,ACC-1002,MES,SELL,6,5608.00,2026-08-21T01:38:40Z,ORD-900020,taker,4.20
FIL-500022,ACC-1015,MES,SELL,10,5609.00,2026-08-21T01:42:29Z,ORD-900154,taker,7.00
FIL-500023,ACC-1012,MES,BUY,4,5607.75,2026-08-21T01:52:44Z,ORD-900460,maker,2.80
